nickname,gender,audio_url,avatar_url,asset_id
温暖阿虎,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-w9bjq.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-w9bjq.png,asset-20260224190657-w9bjq
灿灿,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-qm7zm.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-qm7zm.png,asset-20260224190657-qm7zm
温柔小哥,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-dk6kj.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-dk6kj.png,asset-20260224190657-dk6kj
率真小伙,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-qn26k.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-qn26k.png,asset-20260224190657-qn26k
活泼爽朗,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-7dgr4.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-7dgr4.png,asset-20260224190657-7dgr4
开朗轻快,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-t55r8.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-t55r8.png,asset-20260224190657-t55r8
温柔文雅,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-tx5bj.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-tx5bj.png,asset-20260224190657-tx5bj
暖心体贴,男,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-jjj56.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-jjj56.png,asset-20260224190657-jjj56
知性温婉,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-79wft.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-79wft.png,asset-20260224190657-79wft
心灵鸡汤,女,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/audio/asset-20260224190657-dtx47.mp3,https://sscm-media.oss-cn-guangzhou.aliyuncs.com/audio-reference/avatar/asset-20260224190657-dtx47.png,asset-20260224190657-dtx47
